level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2096	3152	-1	
2	1	1	0	0	0	33	46	136	58	-1	
3	1	1	1	0	0	33	46	136	58	-1	
4	1	1	1	1	0	33	46	136	58	-1	
5	1	1	1	1	1	33	46	136	58	96.709167	Unit
2	1	2	0	0	0	1377	318	244	30	-1	
3	1	2	1	0	0	1377	318	244	30	-1	
4	1	2	1	1	0	1377	318	244	30	-1	
5	1	2	1	1	1	1377	318	45	30	89.686958	I'm
5	1	2	1	1	2	1437	321	54	27	96.887337	not
5	1	2	1	1	3	1503	319	118	29	96.861847	married.
2	1	3	0	0	0	1201	407	46	27	-1	
3	1	3	1	0	0	1201	407	46	27	-1	
4	1	3	1	1	0	1201	407	46	27	-1	
5	1	3	1	1	1	1201	407	46	27	29.558887	™)
2	1	4	0	0	0	632	298	548	162	-1	
3	1	4	1	0	0	632	298	549	162	-1	
4	1	4	1	1	0	632	298	548	162	-1	
5	1	4	1	1	1	632	304	11	55	69.926079	(
5	1	4	1	1	2	674	317	41	36	88.325638	My
5	1	4	1	1	3	732	325	69	21	96.277565	name
5	1	4	1	1	4	819	318	19	28	96.277565	is
5	1	4	1	1	5	853	318	58	29	83.986702	Lisa
5	1	4	1	1	6	954	305	9	136	49.103592	|
5	1	4	1	1	7	999	298	181	162	19.466496	Ne
2	1	5	0	0	0	1094	453	97	76	-1	
3	1	5	1	0	0	1094	453	97	76	-1	
4	1	5	1	1	0	1094	453	97	76	-1	
5	1	5	1	1	1	1094	453	97	76	0.000000	Ny,
2	1	6	0	0	0	1087	583	48	66	-1	
3	1	6	1	0	0	1087	583	48	66	-1	
4	1	6	1	1	0	1087	583	48	66	-1	
5	1	6	1	1	1	1087	583	48	66	0.000000	几
2	1	7	0	0	0	1242	625	40	23	-1	
3	1	7	1	0	0	1242	625	40	23	-1	
4	1	7	1	1	0	1242	625	40	23	-1	
5	1	7	1	1	1	1242	635	10	13	0.000000	‘is
5	1	7	1	1	2	1275	625	7	17	51.128235	|
2	1	8	0	0	0	1161	669	62	15	-1	
3	1	8	1	0	0	1161	669	62	15	-1	
4	1	8	1	1	0	1161	669	62	15	-1	
5	1	8	1	1	1	1161	669	14	13	24.631796	Ph
5	1	8	1	1	2	1207	675	16	9	44.446293	ores
2	1	9	0	0	0	1509	674	349	38	-1	
3	1	9	1	0	0	1509	674	349	38	-1	
4	1	9	1	1	0	1509	674	349	38	-1	
5	1	9	1	1	1	1509	674	45	36	96.738297	My
5	1	9	1	1	2	1564	674	132	30	96.760872	favourite
5	1	9	1	1	3	1707	678	89	34	96.669533	sports
5	1	9	1	1	4	1807	683	51	21	96.328720	are
2	1	10	0	0	0	1509	722	348	37	-1	
3	1	10	1	0	0	1509	722	348	37	-1	
4	1	10	1	1	0	1509	722	348	37	-1	
5	1	10	1	1	1	1509	722	112	29	96.331436	football
5	1	10	1	1	2	1633	723	53	28	96.331436	and
5	1	10	1	1	3	1698	723	159	36	95.374008	swimming.
2	1	11	0	0	0	432	810	403	37	-1	
3	1	11	1	0	0	432	810	403	37	-1	
4	1	11	1	1	0	432	810	403	37	-1	
5	1	11	1	1	1	432	819	17	27	27.200317	y
5	1	11	1	1	2	459	810	89	30	96.928955	father
5	1	11	1	1	3	559	810	23	30	96.852173	is
5	1	11	1	1	4	600	819	6	21	96.713287	a
5	1	11	1	1	5	619	810	96	30	96.739471	doctor
5	1	11	1	1	6	725	811	53	29	96.840027	and
5	1	11	1	1	7	791	819	44	28	96.183884	my
2	1	12	0	0	0	1149	839	13	11	-1	
3	1	12	1	0	0	1149	839	13	11	-1	
4	1	12	1	1	0	1149	839	13	11	-1	
5	1	12	1	1	1	1149	839	13	11	62.526031	y
2	1	13	0	0	0	458	858	322	37	-1	
3	1	13	1	0	0	458	858	322	37	-1	
4	1	13	1	1	0	458	858	322	37	-1	
5	1	13	1	1	1	458	858	107	30	96.623596	mother
5	1	13	1	1	2	576	858	23	30	96.933502	is
5	1	13	1	1	3	609	867	14	21	96.287926	a
5	1	13	1	1	4	632	858	148	37	94.699799	journalist.
2	1	14	0	0	0	348	789	81	119	-1	
3	1	14	1	0	0	348	789	82	119	-1	
4	1	14	1	1	0	348	789	81	119	-1	
5	1	14	1	1	1	348	789	81	119	74.103394	("
2	1	15	0	0	0	1147	917	69	23	-1	
3	1	15	1	0	0	1147	917	69	23	-1	
4	1	15	1	1	0	1147	917	69	23	-1	
5	1	15	1	1	1	1147	917	69	23	96.335129	LISA
2	1	16	0	0	0	180	1027	23	36	-1	
3	1	16	1	0	0	180	1027	23	36	-1	
4	1	16	1	1	0	180	1027	23	36	-1	
5	1	16	1	1	1	180	1027	23	36	92.199013	B
2	1	17	0	0	0	282	1034	130	43	-1	
3	1	17	1	0	0	282	1034	130	43	-1	
4	1	17	1	1	0	282	1034	130	43	-1	
5	1	17	1	1	1	282	1034	130	43	93.294746	肯定
5	1	17	1	1	2	381	1030	34	66	92.333679	式
2	1	18	0	0	0	821	1036	131	42	-1	
3	1	18	1	0	0	821	1036	131	42	-1	
4	1	18	1	1	0	821	1036	131	42	-1	
