level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2096	3078	-1	
2	1	1	0	0	0	24	59	351	68	-1	
3	1	1	1	0	0	24	59	351	68	-1	
4	1	1	1	1	0	24	59	351	68	-1	
5	1	1	1	1	1	24	59	351	68	96.298370	Exercises
2	1	2	0	0	0	1734	57	215	63	-1	
3	1	2	1	0	0	1734	57	215	63	-1	
4	1	2	1	1	0	1734	57	215	63	-1	
5	1	2	1	1	1	1734	59	136	55	96.562988	Unit
5	1	2	1	1	2	1907	57	42	63	96.390594	9
2	1	3	0	0	0	19	184	51	31	-1	
3	1	3	1	0	0	19	184	51	31	-1	
4	1	3	1	1	0	19	184	51	31	-1	
5	1	3	1	1	1	19	184	51	31	94.209770	9.1
2	1	4	0	0	0	156	173	914	50	-1	
3	1	4	1	0	0	156	173	914	50	-1	
4	1	4	1	1	0	156	173	914	50	-1	
5	1	4	1	1	1	156	180	28	35	91.055435	写
5	1	4	1	1	2	202	178	74	38	92.877190	出
5	1	4	1	1	3	287	178	33	37	92.391441	缩
5	1	4	1	1	4	334	179	14	32	93.064354	略
5	1	4	1	1	5	356	176	56	39	95.655220	形式
5	1	4	1	1	6	445	178	129	37	76.768845	(we've
5	1	4	1	1	7	593	181	67	42	93.252876	got
5	1	4	1	1	8	677	175	10	43	91.143082	/
5	1	4	1	1	9	704	179	45	33	95.976585	he
5	1	4	1	1	10	768	178	122	34	93.227776	hasn't
5	1	4	1	1	11	907	179	68	42	96.468750	got
5	1	4	1	1	12	992	173	78	41	80.847519	=).
2	1	5	0	0	0	153	252	270	43	-1	
3	1	5	1	0	0	153	252	270	43	-1	
4	1	5	1	1	0	153	252	270	43	-1	
5	1	5	1	1	1	153	254	13	31	95.587425	1
5	1	5	1	1	2	197	264	53	21	94.478577	we
5	1	5	1	1	3	265	252	84	32	94.478577	have
5	1	5	1	1	4	364	260	59	35	96.301735	got
2	1	6	0	0	0	485	244	217	40	-1	
3	1	6	1	0	0	485	244	217	40	-1	
4	1	6	1	1	0	485	244	217	40	-1	
5	1	6	1	1	1	485	244	109	38	65.301811	we've
5	1	6	1	1	2	610	248	92	36	46.621269	got...
